"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,1.86649043503268,0.0933245217516342,-3.48788111530073,-0.174394055765037,-1.60721840442995,-3.76560293547502,0.551166126615114
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,1.27561985205011,0.0637809926025053,-3.04670005246071,-0.152335002623036,-1.76881878110486,-3.92929921035556,0.391661648145833
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,1.71638005733489,0.0858190028667443,-3.06674537306597,-0.153337268653299,-1.64827289974148,-3.80680650730153,0.510260707818574
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,1.60573913108142,0.0802869565540709,-2.99137796724398,-0.149568898362199,-1.67853268229482,-3.83734341856852,0.480278053978869
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,1.33976906842329,0.0669884534211647,-1.22039350301946,-0.0610196751509732,-1.75127426657348,-3.91133148751956,0.408782954372612
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,0.841836259990338,0.0420918129995169,-1.10910808639108,-0.0554554043195541,-1.88745659095894,-4.05204582527031,0.277132643352421
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,0.67720017422551,0.0338600087112755,-0.991563458927458,-0.0495781729463729,-1.93248380036846,-4.09919957664328,0.234231975906365
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,1.47008715823509,0.0735043579117547,-1.14371714979111,-0.0571858574895555,-1.71563287062711,-3.87497698204651,0.443711240792293
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,1.05928555550193,0.0529642777750966,-1.02838484393488,-0.0514192421967439,-1.82798521249737,-3.99024347769226,0.334273052697528
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,1.51407335499336,0.0757036677496678,-1.23624760548812,-0.061812380274406,-1.70360284887725,-3.86275065274361,0.455544954989111
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,1.86786306405459,0.0933931532027297,-0.959100823152003,-0.0479550411576001,-1.60684299672924,-3.76522737021648,0.551541376758001
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,2.14504767650544,0.107252383825272,-1.0977186787758,-0.0548859339387899,-1.53103428485457,-3.68983450759296,0.627765937883823
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,1.8234815056643,0.0911740752832151,-0.792244055279953,-0.0396122027639977,-1.61898114806026,-3.77738168388058,0.539419387760064
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,2.21296415605123,0.110648207802561,-0.881355620311046,-0.0440677810155523,-1.51245944123715,-3.6714974109183,0.646578528444
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,0.789685619764406,0.0394842809882203,-0.968601250918828,-0.0484300625459414,-1.90171955030582,-4.06694871387909,0.263509613267445
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,0.827320303709307,0.0413660151854654,-0.933008574375152,-0.0466504287187576,-1.89142663798848,-4.05619085511192,0.273337579134958
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,1.02222515591424,0.0511112577957119,-1.03293903502901,-0.0516469517514505,-1.83812106069422,-4.00073808824535,0.324495966856916
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,0.978750451481567,0.0489375225740784,-1.02430364099384,-0.051215182049692,-1.85001119165434,-4.01306925712648,0.313046873817795
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,0.969589037029346,0.0484794518514673,-0.848240198540677,-0.0424120099270339,-1.8525167962131,-4.01567057999034,0.310636987564151
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,0.78287846573927,0.0391439232869635,-1.01356034508677,-0.0506780172543385,-1.90358127550628,-4.06889627390385,0.261733722891298
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,0.953981493496404,0.0476990746748202,-0.902749662190172,-0.0451374831095086,-1.85678538731669,-4.0201044651494,0.30653369051602
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,0.675781183395179,0.0337890591697589,-1.04185204349921,-0.0520926021749607,-1.93287188780974,-4.09960734459888,0.233863568979394
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,1.65859371864258,0.0829296859321293,-0.461664701898514,-0.0230832350949257,-1.66407719660155,-3.82273784176909,0.494583448565994
