depth	min	max	median	mean
63.4	986.06	1549.38	1173.01	1198.51
63.5	987.58	1563.26	1177.71	1204.17
63.6	988.88	1579.11	1182.5	1209.82
63.7	989.5	1594.74	1187.47	1215.47
63.8	990.07	1609.47	1192.63	1221.12
63.9	990.95	1625.44	1197.34	1226.77
64	991.34	1639.76	1202.15	1232.42
64.1	992.34	1654.2	1206.93	1238.08
64.2	993.17	1668.42	1211.39	1243.73
64.3	994.04	1682.15	1215.84	1249.38
64.4	994.72	1698.26	1220.21	1255.03
64.5	995.54	1714.42	1224.49	1260.68
64.6	996.24	1730.24	1228.82	1266.34
64.7	996.72	1746.51	1233.26	1271.99
64.8	997.71	1760.94	1237.77	1277.64
64.9	998.31	1776.96	1242.66	1283.29
65	999	1792.95	1247.63	1288.94
65.1	1005.68	1796.59	1253.15	1294.1
65.2	1013.61	1800.4	1258.89	1299.25
65.3	1019.53	1803.32	1264.51	1304.41
65.4	1025.66	1804.62	1270.13	1309.57
65.5	1030.1	1807.66	1275.66	1314.72
65.6	1033.68	1810.84	1279.57	1319.88
65.7	1038.54	1814.34	1284.79	1325.04
65.8	1043.15	1821.96	1290.33	1330.19
65.9	1047.59	1827.42	1294.17	1335.35
66	1052.25	1832.33	1300.14	1340.5
66.1	1056.37	1836.46	1306.58	1345.66
66.2	1059.83	1840.25	1312.14	1350.82
66.3	1062.09	1841.97	1316.84	1355.97
66.4	1065.13	1844.18	1322.27	1361.13
66.5	1068.59	1846.5	1327.84	1366.29
66.6	1070.45	1850.68	1333.38	1371.44
66.7	1073.26	1853.49	1339.31	1376.6
66.8	1075.75	1856.33	1345.77	1381.76
66.9	1077.91	1858.87	1350.93	1386.91
67	1080.24	1863.94	1356.36	1392.07
67.1	1082.57	1868.08	1362.01	1397.22
67.2	1084.75	1871.74	1366.53	1402.38
67.3	1087.31	1876.89	1371.05	1407.54
67.4	1089.05	1883.87	1375.91	1412.69
67.5	1091.44	1889.28	1381.83	1417.85
67.6	1094.2	1895.05	1387.3	1423.01
67.7	1096.88	1897.75	1392.17	1428.16
67.8	1098.81	1904.28	1398.08	1433.32
67.9	1100.29	1910.53	1404.34	1438.47
68	1102.25	1916.06	1411.3	1443.63
68.1	1105.29	1920.38	1418.5	1448.79
68.2	1106.59	1928.63	1424.51	1453.94
68.3	1108.68	1932.62	1430.62	1459.1
68.4	1111.41	1937.44	1436.8	1464.26
68.5	1112.56	1943.24	1441.77	1469.41
68.6	1114.87	1945.96	1446.7	1474.57
68.7	1117.2	1953.53	1452.39	1479.72
68.8	1118.65	1958.71	1458.7	1484.88
68.9	1121.37	1965.41	1464.53	1490.04
69	1123.66	1970.2	1469.61	1495.19
69.1	1125.07	1976.8	1475.13	1500.35
69.2	1126.58	1983.34	1481.61	1505.51
69.3	1127.76	1989.86	1486.59	1510.66
69.4	1129.14	1997.06	1491.62	1515.82
69.5	1131.15	2006.84	1497.65	1520.97
69.6	1131.88	2014.21	1502.73	1526.13
69.7	1134.62	2023.34	1507.14	1531.29
69.8	1134.93	2030.25	1511.35	1536.44
69.9	1136.01	2035.92	1516.91	1541.6
70	1137.35	2044.06	1522.81	1546.76
70.1	1149.02	2047.03	1528.97	1553.11
70.2	1157.43	2051.05	1536	1559.46
70.3	1164.46	2054.94	1542.93	1565.81
70.4	1174.68	2059.05	1550.09	1572.17
70.5	1182.36	2060.52	1557.18	1578.52
70.6	1189.7	2064.3	1564.18	1584.87
70.7	1197.56	2069.09	1571.68	1591.22
70.8	1202.32	2073.33	1578.55	1597.58
70.9	1208.17	2076.02	1586.95	1603.93
71	1214.57	2081.87	1595.81	1610.28
71.1	1221.04	2087.62	1601.79	1616.64
71.2	1226.23	2096.52	1606.75	1622.99
71.3	1233.7	2100.58	1613.54	1629.34
71.4	1239.17	2107.03	1620.96	1635.69
71.5	1244.5	2110.91	1627.48	1642.05
