"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,-0.614803910507226,-0.0307401955253613,-2.83337474430325,-0.141668737215163,-2.7920008602289,-4.23564692935222,-1.34835479110558,-2.78857644224053,-4.21684729566145,-1.3603055888196
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,-1.02671431847254,-0.0513357159236268,-3.22388335036616,-0.161194167518308,-3.02772160157303,-4.47045011845901,-1.58499308468705,-3.02761404412797,-4.46876612954327,-1.58646195871267
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,-0.353359794457874,-0.0176679897228937,-2.84558317369373,-0.142279158684687,-2.64238628467196,-4.08748352816645,-1.19728904117747,-2.63685661841592,-4.05787228175279,-1.21584095507904
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,-0.138206643535681,-0.00691033217678406,-1.99508819667721,-0.0997544098338605,-2.51926227698198,-3.96605822748242,-1.07246632648154,-2.51200011505876,-3.92759096395648,-1.09640926616104
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,-0.437609724470787,-0.0218804862235393,-2.1809452213646,-0.10904726106823,-2.69059933191914,-4.13515539308084,-1.24604327075743,-2.68574807840342,-4.10902270295313,-1.26247345385371
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,-0.524165424924031,-0.0262082712462015,-1.72593547849894,-0.0862967739249469,-2.74013188434767,-4.18420475899635,-1.29605900969899,-2.73597761051996,-4.16165140543163,-1.31030381560829
"Kerguelen","KER3","CAT2-S3-1A",32,45.1,47,46.1,-0.837121195724645,-0.0418560597862323,-2.36471237450044,-0.118235618725022,-2.91922463091225,-4.36216723085368,-1.47628203097083,-2.91759039694733,-4.35259534285229,-1.48258545104238
"Kerguelen","KER3","CAT2-S3-1B",38,46.4,47.6,47,-0.595953009718775,-0.0297976504859387,-2.3260405708291,-0.116302028541455,-2.78121320295457,-4.2249413639716,-1.33748504193755,-2.77763699028507,-4.20536059403966,-1.34991338653048
"Kerguelen","KER3","CAT2-S3-1B",42,51.6,52.7,52.2,-0.202582082359234,-0.0101291041179617,-2.50103062619184,-0.125051531309592,-2.55610190489718,-4.00234193330757,-1.10986187648679,-2.54935811869078,-3.96652005827016,-1.13219617911139
"Kerguelen","KER3","CAT2-S3-1B",45,55.3,56.5,55.9,-0.596424540262973,-0.0298212270131487,-2.74802091536271,-0.137401045768135,-2.78148304204408,-4.22520910688486,-1.3377569772033,-2.77791062631932,-4.2056478733005,-1.35017337933814
