"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"KER1","Ti","RF",6,0.6,0.756878389356067,0.606854866359101,1582.52952794485,1,0,2249
"KER1","Ti","WLS",7,0.4,0.728935134347202,0.640781067535794,1882.89538666468,0,1,2505
"KER1","Ti","WLS_weighted",8,0.39928587972267,0.72919658362992,0.640471967780676,1893.08238585334,0.012978823032277,0.978746464758259,2505
"KER1","Zr","RF",1,0.631501917701886,0.763434294129901,0.639191072577344,44.0874905808599,0.385836529503144,1,2249
"KER1","Zr","OLS",2,0.612840507646776,0.608456680906178,0.822327315016661,148.16046066862,0.786382544479107,0.352527452398281,2523
"KER1","Zr","PLS_LOO",3,0.6,0.697291605179832,0.723047851394819,93.2499291193699,1,0,2249
"KER1","Zr","PLS_kfold",4,0.590873857335178,0.666923514991935,0.758449717250912,101.723366963639,0.845613987422729,0.20876366220385,2249
"KER1","Zr","Bayes",5,0.5726205375691,0.723503699572672,0.691034085621477,78.0488237943269,0.702711848804389,0.377483570716168,2249
"KER1","Zr","WLS_weighted",6,0.458497078647821,0.608229412035276,0.822565937768544,162.575252795128,0.585341676077294,0.26823018250361,2523
"KER1","Zr","WLS",7,0.343493428646271,0.608323185716187,0.822467487738816,159.077231156446,0.380894429736009,0.287391927011664,2523
"KER1","Zr","OLS_weighted",8,0.102482778909039,0.401191970178938,1.01694769214115,153.784821913486,0,0.256206947272598,2523
"KER3","Ca","OLS_weighted",1,0.975310596676185,0.60078407376705,0.449611220751241,5620.88386479327,0.976233190453279,0.973926706010544,2000
"KER3","Ca","OLS",2,0.837259542061802,0.605349695781694,0.447032844459699,5504.63271481712,0.77346126646194,0.932956955461597,2000
"KER3","Ca","Bayes",3,0.659907762536524,0.71849446314204,0.377551919451181,4920.26934220119,0.990373820953032,0.164208674911761,1739
"KER3","Ca","PLS_LOO",4,0.6,0.714591218855023,0.380160401230266,5060.00126868248,1,0,1739
"KER3","Ca","PLS_kfold",5,0.6,0.714591218855023,0.380160401230266,5060.00126868248,1,0,1739
"KER3","Ca","RF",6,0.530996785719949,0.739371873885863,0.363281977243897,4506.9080410246,0.818294742628607,0.100049850356961,1739
"KER3","Ca","WLS_weighted",7,0.402409099432067,0.604732452698864,0.447382293228408,5447.03371534874,0.00555858930506898,0.997684864622563,2000
"KER3","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,2000
"KER3","Fe","OLS_weighted",1,0.984039644522914,0.705011398870254,0.619652240442579,19165.0781241486,1,0.960099111307284,2000
"KER3","Fe","OLS",2,0.629829116918841,0.711860213839782,0.612416695598065,19046.317786508,0.429215678219755,0.93074927496747,2000
"KER3","Fe","PLS_LOO",3,0.59471031965312,0.769588412151896,0.547643031052147,12699.4253247054,0.394613582908172,0.894855424770543,1739
"KER3","Fe","PLS_kfold",4,0.59471031965312,0.769588412151896,0.547643031052147,12699.4253247054,0.394613582908172,0.894855424770543,1739
"KER3","Fe","WLS_weighted",5,0.404166280282928,0.711404682307114,0.612900601250386,19121.2837499281,0.00694380047154626,1,2000
"KER3","Fe","WLS",6,0.399365842335584,0.711426381771426,0.612877558837851,19118.97376675,0,0.998414605838959,2000
"KER3","Fe","Bayes",7,0.3770101862093,0.782666025570093,0.531874559979908,13054.643263387,0.53288508468302,0.14319783849872,1739
"KER3","Fe","RF",8,0.295479121186143,0.80646417107391,0.501910285388067,18226.9640487726,0.492465201976905,0,1739
